0,SUCESS,操作成功
1,UNKNOW,未知错误
2,DISABE_REQUEST,非法请求
3,REQUEST_TIME,消息超时
4,EXCEPTION,操作异常[{desc}]
5,NOT_LOGGED,账号尚未登录成功
6,DN_EXCEPT,数据库操作异常
7,UNKNOW_PAGE,无效请求页面
8,DB_ERROR,数据操作失败，或者数据已处理未发生任何变化[{table}]
9,FIELD_CHECK_ERROR,缺少必要字段信息
10,USER_IS_STOP,账户已被停用
11,USER_IS_FREEZE,账户已被冻结
12,USER_PASSWORD_ERROR,账户密码错误
13,USER_INFO_NOT_FOUND,用户信息不存在
14,IP_IS_STOP,您的IP地址已被禁用
15,IP_IS_FREEZE,您的IP地址已被冻结
16,IP_IS_LIMIT,您的IP地址已受限
17,INPUT_INFAILD,无效输入信息[{desc}]
18,PRODUCT_INFAILD,无效产品信息
19,API_DISABLE,该接口已被禁用，请联系相关人员
20,INPUT_INFO_INFAILD,输入内容冲突[{desc}]
